city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Pisté,6934,Mexico,auto_econom,0,1,0,,0
Ivaiporã,21972,Brazil,auto_econom,0,1,0,,0
Altinópolis,32313,Brazil,auto_econom,0,1,0,,0
Guatemala City,4198,Guatemala,moto_econom,251811,1458418,0.252,1.095,0.173
Tanta (طنطا),11457,Egypt,moto_econom,47,272,0.246,1.141,0.173
Cláudio,21737,Brazil,auto_econom,0,1,0,,0
San Rafael,24823,Mexico,auto_econom,0,1,0,,0
Brasiléia,32503,Brazil,auto_econom,0,1,0,,0
Bandung,5698,Indonesia,6-seater XL,504,2993,0.232,1.074,0.168
Umbaúba,32396,Brazil,auto_econom,0,1,0,,0
Cascavel,42861,Brazil,auto_econom,0,1,0,,0
Ciudad Darío,8147,Nicaragua,moto_econom,1,6,0.385,1.105,0.167
Jalapa,24242,Mexico,auto_econom,0,1,0,,0
Cantagalo,32341,Brazil,auto_econom,0,1,0,,0
Manga,22056,Brazil,auto_econom,0,1,0,,0
Manzanillo,5309,Mexico,Mototaxi,0,1,0,,0
Huiramba,24385,Mexico,auto_econom,0,1,0,,0
Nossa Senhora da Glória,22141,Brazil,auto_econom,0,1,0,,0
Morro da Fumaça,32344,Brazil,auto_econom,0,1,0,,0
Rosário Oeste,32545,Brazil,auto_econom,0,1,0,,0
Sucila,24166,Mexico,auto_econom,0,1,0,,0
Belo Horizonte,4540,Brazil,intercity_buses,0,1,0,,0
Carmo do Cajuru,32258,Brazil,auto_econom,0,1,0,,0
Алматы,169,Казахстан,6-seater XL,584,3594,0.269,1.137,0.162
Baião,21560,Brazil,auto_econom,0,1,0,,0
San Benito Abad,23281,Colombia,auto_econom,0,1,0,,0
Carmen del Darién (Curbaradó),42836,Colombia,auto_econom,0,1,0,,0
Agua de Dios,23054,Colombia,auto_econom,0,1,0,,0
Cachoeira,21647,Brazil,auto_econom,0,1,0,,0
Bela Vista,21594,Brazil,auto_econom,0,1,0,,0
Alagoa Grande,21489,Brazil,auto_econom,0,1,0,,0
Acajete,24976,Mexico,auto_econom,0,1,0,,0
La Unión,42802,Colombia,auto_econom,0,1,0,,0
Asyut (أسيوط),9593,Egypt,moto_econom,3,19,0.108,1.122,0.158
Buritama,32406,Brazil,auto_econom,0,1,0,,0
Ponta de Pedras,22277,Brazil,auto_econom,0,1,0,,0
Garça,21842,Brazil,auto_econom,0,1,0,,0
Quirinópolis,22310,Brazil,auto_econom,0,1,0,,0
Rosana,22345,Brazil,auto_econom,0,1,0,,0
Duartina,32467,Brazil,auto_econom,0,1,0,,0
Jose Maria Morelos,24471,Mexico,auto_econom,0,1,0,,0
Xilitla,24955,Mexico,auto_econom,0,1,0,,0
Marcos Castellanos,24533,Mexico,auto_econom,0,1,0,,0
Sahuaripa,24293,Mexico,auto_econom,0,1,0,,0
Nariño,23135,Colombia,auto_econom,0,1,0,,0
Irará,21925,Brazil,auto_econom,0,1,0,,0
Ragonvalia,22859,Colombia,auto_econom,0,1,0,,0
Nova Brasilandia d'Oeste,34910,Brazil,auto_econom,0,1,0,,0
Nova Olinda do Norte,22148,Brazil,auto_econom,0,1,0,,0
Nepalgunj,5965,Nepal,moto_econom,12,79,0.294,1.124,0.152
Атырау,221,Казахстан,6-seater XL,84,552,0.205,1.084,0.152
Guapí,23337,Colombia,auto_econom,0,1,0,,0
Vicência,22576,Brazil,auto_econom,0,1,0,,0
Génova,22966,Colombia,auto_econom,0,1,0,,0
Tipacoque,22704,Colombia,auto_econom,0,1,0,,0
Tamazula de Victoria,24027,Mexico,auto_econom,0,1,0,,0
Poço Verde,22269,Brazil,auto_econom,0,1,0,,0
Aranzazu,23077,Colombia,auto_econom,0,1,0,,0
